review,sentiment
"Below average movie with poor music considering a movie based on music??? Ordinary Script & Direction with full of blunders. Salman Khan was at his usual acting. Ajay's performance deteriorating with time as his looks,especially his styles as a Rock Star were pathetic. Asin was just a showpiece only. Overall I felt like wasting my money in cinema. Salman Khan remains as immature as 10 years ago compared to Aamir Khan. There were many songs in the movie all boring except ""Man Ko Ati"". The Most Important Song to impress the UK Music Sponsor was most unimpressive. ""Khanabadosh"" can be very easily understood by an English Music Sponsor. The other movie I saw last week was ""Wake Up Sid"" which was simple slow love story with good direction & acting despite average music",negative
"This is a movie which attempts a retelling of Thai history, set in the ancient city of Ayutthaya. I decided to watch this film because I thought it was along the lines of many Thai films I've watched and enjoyed, one that has Thai actors speaking Thai and martial arts craziness. Well, it's none of that. This film is shot entirely in English, is chock full of Anglo actors, and has production values so terrible it is laughably bad....but not funny! Who can we blame for this rubbish? The acting, dialog, and most of the sets were quite bad. Some of the fight scenes looked like they were choreographed by the local high school drama club. The special effects were also mostly bad, but a few were just cheap animation patched onto the screen that provided an especially cheesy effect. It has one large, epic-style outdoor battle scene, where a few thousand extras get to run across a field in costume, but when we see the two armies collide in combat--HA! What a joke! The film does feature a couple of beauties. What a pity they didn't show a little more skin. At least that would have been something for the guys to appreciate. Don't bother.",negative
"I haven't seen this in over 20yrs but I still remember things about it.<br /><br />This film could NOT have been made in color. The stark grays are what make it, and was life really that simple in the 1950's?? What stands out the most in my memory is Perry Smith going to the gallows. His breathing under the hood just before they sprung the trap. I don't think I could watch that again.....once is plenty. It's like that unnamed guy at the beginning of ""Papillon"" who is dragged out in terror to the guillotine. The guy that said watch this on a double bill with ""Dead Man Walking"" should have added the last 10 minutes of ""I Want To Live"" as well.<br /><br />Some of my ancestors being ""aristos"" went to the guillotine in 1794-95 so my feelings on the death penalty are rather intense.",positive
"Wow, where do I begin? After suffering through this wretched $1.00 rental (thanks a LOT, Family Video) I just had to make a few comments. I did not bother to write down the names of the 3 actors in the film, but hopefully you will know who I am talking about.<br /><br />A monster truck terrorizes the countryside and chases two college-aged buddies to their doom. They encounter a hot girl wearing slutty clothes. I mean, this just sounds fantastic in theory. I was laughing hysterically at the DVD box while I walked it up to the girl behind the counter at the video store.<br /><br />Acting: the hot girl, played by Aimee Whatever, is visibly laughing through many scenes where she is supposed to be scared. The other two major actors in the film, the fat prankster and the vanilla straight-guy are both terrible. The fat guy thinks he's Jack Black. He's not. The other actor, our hero, over-emotes and misses all his cues and comes across as some generic character you might see in a made-for-Nickelodeon movie about skateboarding in the early 90's. Look: I don't expect great performances in movies like these, but at least the actors can make an effort to not be annoying. You can be an incompetent actor but still be agreeable (i.e. John Wayne). At least that Aimee gal is attractive.<br /><br />Script: Holy ****, who thought this dialogue was funny? I wouldn't have the nerve to play this out in front of my grade school drama class, much less pitch it as a film script. Unfathomably bad. More on this later.<br /><br />Production: OK, this is the one place where the film definitely succeeds. Production quality is amazingly high. The look of the film is very good. Apparently the only talented person who worked on the movie was the director of photography.<br /><br />OK, here are my biggest gripes: 1) The guy driving the car never drives faster than 25 miles an hour.<br /><br />2) The guy driving the car is well out into the country before he realizes there is a fat man in a mask in his back seat. He is supposedly meticulous about recording gas mileage and keeping his antique car in good condition but he does not notice a 300lb Jack Black impersonator in the back? Come on.<br /><br />4) Characters never change their clothes. There are two hotel scenes. Presumably, showers are available to our characters yet over the 3 days this movie takes place, none of the characters bothers to change their clothes.<br /><br />5) Comedy. Lighthearted, slapstick comedy does not mix with horror. Period. You can't have our characters running away from a monster truck one second and the next second have them verbally jousting one another with some dopey light/comedy music playing. This kind of pacing virtually ruins any tension in the movie. Movies like Evil Dead 2 which mix comedy and horror understand that tension can be loosened yet never completely eliminated with humor. Monster Man doesn't get it.<br /><br />I'm irritated that what could have been a VERY funny horror movie was ruined by a director who thought he was a lot more clever than he really was. Oh well.",negative
"The great and underrated Marion Davies shows her stuff in this late (1928) silent comedy that also showcases the wonderful William Haines. Davies plays a hick from Georgia who crashes Hollywood with help from Haines. They appear in cheap comedies until Marion is ""discovered"" and becomes a big dramatic star. A great lampoon on Hollywood and its pretentions. Davies & Haines are a wonderful team (too bad they never made a talkie together) and the guest shots from the likes of Charlie Chaplin, Douglas Fairbanks, William S. Hart, John Gilbert, Elinor Glynn, and Marion Davies (you have to see it) are a hoot. A must for any serious film buff or for anyone interested in the still-maligned Marion Davies!",positive
"Many people like to point to this TV movie when arguing with the vast legions of Hanks-philes out there that Tom did in fact make crappy films (I think ""Bachelor Party"" was great, but that's another story). The movie focuses on a ""Dungeons and Dragons-style game"" that eventually drives our young Gump to hallucinatory madness. The story is charmingly early 1980s, focusing as it does on the imminent threat to our youth posed by those evil role-playing games.<br /><br />I, however, prefer to view ""Mazes and Monsters"" as the turning point in the ""Whatever Happened to Chris Makepeace?"" story. we all remember him as 'Rudy the Rabbit' in ""Meatballs"" and as the hapless Clifford in ""My Bodyguard"", where he gave us all a vicarious thrill by beating the crap out of Matt Dillon. Few could argue (especially those of us who read ""Dynamite!"" on a regular basis) that great things were in store for him.<br /><br />And then came Rona Jaffe. The line between bad acting and bad writing is razor thin, so I leave it to you to decide whose fault Makepeace's performance in this is. All I know is that the last major release I saw him in was ""Vamp"", and that was 1986. He had a small role as Sean Penn's brother in ""Falcon and the Snowman"", but by that time the Brat Pack torch had been passed to others with straighter hair and flashier resumes.<br /><br />I can't in good conscience recommend this movie. Watch it if only to see a younger, more idealistic Chris Makepeace, before Rona Jaffe feasted on his soul.",negative
"The '80's were the best of times and worst of times for James Karin, he starred in one of the best cult horror-comedies with ""Return of the Living Dead"" and a year later he acts in this piece of.... this bad movie. A sequel to Hardbodies (but not really), has a group of fairly unlikeable characters attempting to make a movie in Greece. Through design or sheer laziness the line between the film and the 'film within a film' is not only blurred, but throughly non-existent from scene to scene (which would be confusing if I were just interested in anything happening in the movie in the first place. Unfunny would be too generous a term.<br /><br />Eye Candy: Nana, Fabiana Udenio, and many numerous extras get topless; Brenda Bakke shows some T&A<br /><br />My Grade: F<br /><br />DVD Extras: Just trailers for ""Hardbodies"", ""American High School"", ""Strike"", ""Virgin Territory"" (comes in a double-feature DVD with the first film, for the masochistic)",negative
"'Hitch' is a nice surprise: A romantic comedy that actually has romance and comedy. Most romantic comedies for me range from mediocre to horrible because they are not funny or romantic. 'Hitch' takes actors like Will Smith, Kevin James, and Eva Mendes into a fun, light-as-a-feather journey that actually had me laughing and, yes, a little ""aww, how sweet!"".<br /><br />Meet Alex Hitchens (Will Smith), aka Hitch. He's a self-proclaimed 'Date Doctor'; he helps hopeless guys like Albert (Kevin James) win guys like Allegra (Amber Valletta). Unfortunately, Hitch has to deal with Sarah (Eva Mendes), a gossip columnist bent on breaking the Date Doctor...<br /><br />'Hitch' is actually pretty funny, and it even makes the standard slapstick scenes work simply because the cast is so energetic and clearly having fun. I have to wonder why Will Smith hasn't made more movies like this. His sharp, rapid-fire delivery is perfect for this genre, and his chemistry with Mendes and James is wonderful. James is a real discovery; I have never seen his show 'The King of Queens', but he is funny and heartfelt, and he proves once more that fat white men cannot dance hip-hop (Smith's responses to his attempts are hilarious). Mendes is hot and bouncy (not that way, geez) as Smith's perfect match, and Amber Valletta is sweet as Allegra.<br /><br />'Hitch' isn't perfect; it's a tad too long, and things get too ""dramatic"" near the end (although this is redeemed by the happy ending filled with funny dancing). But's it a great refresher from the cookie-cutter romantic comedies that keep littering theaters.",positive
"The movie is actually too slow. There are some nice images but it cannot outweigh the fact that the movie is in fact boring. You see a sexual intercourse a lot of watermelons and a sexual intercourse while eating a melon and maybe a little bit more. It may sound even interesting to someone but believe me to watch it for 2 hours isn't fun at all. Though you laugh several times but it's really not enough and it may be more out of despair and disbelieve than out of fun. To disturb the boredom director tries to put few movie video-clips into the movie. They are really colorful clips of absurd songs maybe from the 50's but it's hard to say exactly and they are trying to be funny so hard that it's really sad. Several times you have a feeling that the plot could evolve into something, that a powerful scene is being created but at the end it just somehow evaporates and that's it. Beside the clips there are hardly any dialogs let alone music. The director is trying to be original and artistic at all cost. Personally I cannot recommend the movie. I believe that art is something that shouldn't be boring. During the projection there was yawning all around the cinema which just corroborates my short review.",negative
"Gundam Wing is an amazing show from start to finish, every single episode is a joy to watch. The story is typical Gundam fare, in the future Earth's populations grows to the extent where we create space colonies in order to expand. The story though is set in an entirely different reality than any other Gundam show. It is the year After Colony 195 and the corrupt Earth government, known as the Earth Sphere Alliance, is violently taking over the free colonies. To combat the Alliance control and the even greater threat that is to come (an evil militaristic organization hiding within the Alliance known as OZ, which later takes control of Earth and the colonies), select members of the colonies send 5 super powerful mechs to Earth to try and save the colonies from the threat that is to soon come. These mechs, known as Gundams, fight OZ and try to regain peace in the colonies as OZ takes the front-stage, completely eliminating the Alliance and taking control of Earth and its colonies.<br /><br />Gundam Wing as I previously stated, is probably the most enjoyable Gundam series to watch in my opinion. A large part of this reason is the difference between this series and any other Gundam series before it, but also the stories are far more deep and intricate than majority of the other Gundam series. Gundam Wing has more depth and emotion to it than any other Gundam show I have ever seen thus far. This particular series seemed to focus more on character and the relationships amongst those characters than epic space battle. Now don't get me wrong, this show still has many epic battles within it, and the show still maintains the epic atmosphere that other Gundam series have, but it achieves this by having the story follow an ensemble cast of 6 or 7 characters as opposed to following just 1.<br /><br />No matter how you look at it this is truly one of the most unique and enjoyable Gundam series out there, and I strongly recommend it to any fan of anime, or sci-fi in general. The show sports some amazing animation and superb action, but the depth and intricacy of the story is what keeps you coming back for more. The characters are so well drawn out by the end of the show that you end up loving each and every one of them. This show is definitely one that shouldn't be missed.<br /><br />A perfect 10/10!",positive
"This movie reminds me old B movies, but not in a good way.<br /><br />When I saw the first scene I thought it was going to be a spoof of one of those early SF films. The terrible acting, the plastic props and the noticeable visual effects gave me that impression.<br /><br />But no, the movie is really that bad. The story is a complete nonsense, the effects are below the level of a TV production; even the editing is a mess.<br /><br />The only thing that kept me in the theater was that I wanted to know the end of the story, although I was pretty sure it was going to be silly (and it was).<br /><br />There are better ways to spend your time and money.",negative
